No.;"Nama Lembaga";"No. Seri Kartu SAM";"No. Manifest Kartu SAM";"No. PCID";Keterangan
1;"CIMB NIAGA";-;-;-;-;R
2;"DISDUKCAPIL KAB KAPUAS HULU";-;-;-;-;R
3;"PT. BPR TATAARTA SWADAYA";-;-;-;-;R
4;"PT. BPR DANA MULIA";-;-;-;-;R
5;"DPMD KAB SIDOARJO";" 30150113000086A1";2020BB12ID062779;2020BB12091000000000000000062779;Berhasil;R
6;"demo - pt idpro bigdata indonesia 5ID";0;2019BB12BT041616;2019BB12200200000000000000041616;Berhasil;R
7;"demo - pt idpro bigdata indonesia 5ID";0;2019BB12BT041617;2019BB12200200000000000000041617;Berhasil;R
8;"demo - pt idpro bigdata indonesia 5ID";0;2019BB12BT041618;2019BB12200200000000000000041618;Berhasil;R
9;"demo - pt idpro bigdata indonesia 5ID";0;2019BB12BT041619;2019BB12200200000000000000041619;Berhasil;R
10;"demo - pt idpro bigdata indonesia 5ID";0;2019BB12BT041620;2019BB12200200000000000000041620;Berhasil;R
11;"bareskrim - polri - 10 SAM ID (pusinafis)";0;2019BB12BT043663;2019BB12060500000000000000043663;Berhasil;R
12;"bareskrim - polri - 10 SAM ID (pusinafis)";0;2019BB12BT043664;2019BB12060500000000000000043664;Berhasil;R
13;"bareskrim - polri - 10 SAM ID (pusinafis)";0;2019BB12BT043665;2019BB12060500000000000000043665;Berhasil;R
14;"bareskrim - polri - 10 SAM ID (pusinafis)";0;2019BB12BT043666;2019BB12060500000000000000043666;Berhasil;R
15;"bareskrim - polri - 10 SAM ID (pusinafis)";0;2019BB12BT043667;2019BB12060500000000000000043667;Berhasil;R
16;"bareskrim - polri - 10 SAM ID (pusinafis)";0;2019BB12BT043668;2019BB12060500000000000000043668;Berhasil;R
17;"bareskrim - polri - 10 SAM ID (pusinafis)";0;2019BB12BT043669;2019BB12060500000000000000043669;Berhasil;R
18;"bareskrim - polri - 10 SAM ID (pusinafis)";0;2019BB12BT043670;2019BB12060500000000000000043670;Berhasil;R
19;"bareskrim - polri - 10 SAM ID (pusinafis)";0;2019BB12BT043671;2019BB12060500000000000000043671;Berhasil;R
20;"bareskrim - polri - 10 SAM ID (pusinafis)";0;2019BB12BT043672;2019BB12060500000000000000043672;Berhasil;R
21;"bank perkreditan rakyat sungkunandhana";0;2019BB12BT043673;2019BB12060500000000000000043673;Berhasil;R
22;"bank perkreditan rakyat sungkunandhana";0;2019BB12BT043674;2019BB12060500000000000000043674;Berhasil;R
23;"bank perkreditan rakyat sungkunandhana";0;2019BB12BT043675;2019BB12060500000000000000043675;Berhasil;R
24;"bank perkreditan rakyat sungkunandhana";0;2019BB12BT043676;2019BB12060500000000000000043676;Berhasil;R
25;"bareskrim - polri - 3 SAM ID";0;2019BB12BT043677;2019BB12060500000000000000043677;Berhasil;R
26;"bareskrim - polri - 3 SAM ID";0;2019BB12BT043678;2019BB12060500000000000000043678;Berhasil;R
27;"bareskrim - polri - 3 SAM ID";0;2019BB12BT043679;2019BB12060500000000000000043679;Berhasil;R
28;"dinas dukcapil provinsi bangka belitung - 2 BT";0;2019BB12BT043680;2019BB12060500000000000000043680;Berhasil;R
29;"dinas dukcapil provinsi bangka belitung - 2 BT";0;2019BB12BT043681;2019BB12060500000000000000043681;Berhasil;R
30;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043663;2019AA11100500000000000000043663;Berhasil;R
31;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043664;2019AA11100500000000000000043664;Berhasil;R
32;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043665;2019AA11100500000000000000043665;Berhasil;R
33;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043666;2019AA11100500000000000000043666;Berhasil;R
34;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043667;2019AA11100500000000000000043667;Berhasil;R
35;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043668;2019AA11100500000000000000043668;Berhasil;R
36;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043669;2019AA11100500000000000000043669;Berhasil;R
37;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043670;2019AA11100500000000000000043670;Berhasil;R
38;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043671;2019AA11100500000000000000043671;Berhasil;R
39;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043672;2019AA11100500000000000000043672;Berhasil;R
40;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043673;2019AA11100500000000000000043673;Berhasil;R
41;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043674;2019AA11100500000000000000043674;Berhasil;R
42;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043675;2019AA11100500000000000000043675;Berhasil;R
43;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043676;2019AA11100500000000000000043676;Berhasil;R
44;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043677;2019AA11100500000000000000043677;Berhasil;R
45;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043678;2019AA11100500000000000000043678;Berhasil;R
46;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043679;2019AA11100500000000000000043679;Berhasil;R
47;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043680;2019AA11100500000000000000043680;Berhasil;R
48;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043681;2019AA11100500000000000000043681;Berhasil;R
49;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043682;2019AA11100500000000000000043682;Berhasil;R
50;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043683;2019AA11100500000000000000043683;Berhasil;R
51;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043684;2019AA11100500000000000000043684;Berhasil;R
52;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043685;2019AA11100500000000000000043685;Berhasil;R
53;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043686;2019AA11100500000000000000043686;Berhasil;R
54;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043687;2019AA11100500000000000000043687;Berhasil;R
55;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043688;2019AA11100500000000000000043688;Berhasil;R
56;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043689;2019AA11100500000000000000043689;Berhasil;R
57;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043690;2019AA11100500000000000000043690;Berhasil;R
58;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043691;2019AA11100500000000000000043691;Berhasil;R
59;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043692;2019AA11100500000000000000043692;Berhasil;R
60;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043693;2019AA11100500000000000000043693;Berhasil;R
61;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043694;2019AA11100500000000000000043694;Berhasil;R
62;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043695;2019AA11100500000000000000043695;Berhasil;R
63;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043696;2019AA11100500000000000000043696;Berhasil;R
64;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043697;2019AA11100500000000000000043697;Berhasil;R
65;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043698;2019AA11100500000000000000043698;Berhasil;R
66;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043699;2019AA11100500000000000000043699;Berhasil;R
67;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043700;2019AA11100500000000000000043700;Berhasil;R
68;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043701;2019AA11100500000000000000043701;Berhasil;R
69;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043702;2019AA11100500000000000000043702;Berhasil;R
70;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043703;2019AA11100500000000000000043703;Berhasil;R
